slug,name,source,notes
cloak-of-the-manta-ray,Cloak of the Manta Ray,DMG2024,
clockwork-amulet,Clockwork Amulet,DMG2024,
clothes-of-mending,Clothes of Mending,DMG2024,
crown-of-horns,Crown Of Horns,FRAIF,
crystal-ball,Crystal Ball,DMG2024,
crystal-ball-of-mind-reading,Crystal Ball of Mind Reading,DMG2024,
crystal-ball-of-telepathy,Crystal Ball of Telepathy,DMG2024,
crystal-ball-of-true-seeing,Crystal Ball of True Seeing,DMG2024,
cube-of-force,Cube of Force,DMG2024,
cube-of-summoning,Cube of Summoning,DMG2024,
cubic-gate,Cubic Gate,DMG2024,
daern-s-instant-fortress,Daern's Instant Fortress,DMG2024,
dagger-of-venom,Dagger of Venom,DMG2024,
dancing-sword,Dancing Sword,DMG2024,
dark-shard-amulet,Dark Shard Amulet,DMG2024,
dazzling-weapon,Dazzling Weapon,EFOTA,
decanter-of-endless-water,Decanter of Endless Water,DMG2024,
deck-of-illusions,Deck of Illusions,DMG2024,
deck-of-many-things,Deck of Many Things,DMG2024,
defender,Defender,DMG2024,
demon-armor,Demon Armor,DMG2024,
demonomicon-of-iggwilv,Demonomicon of Iggwilv,DMG2024,
dimensional-shackles,Dimensional Shackles,DMG2024,
dragon-scale-mail,Dragon Scale Mail,DMG2024,
dragon-slayer,Dragon Slayer,DMG2024,
dread-helm,Dread Helm,DMG2024,
driftglobe,Driftglobe,DMG2024,
dust-of-disappearance,Dust of Disappearance,DMG2024,
dust-of-dryness,Dust of Dryness,DMG2024,
dust-of-sneezing-and-choking,Dust of Sneezing and Choking,DMG2024,
dwarven-plate,Dwarven Plate,DMG2024,
dwarven-thrower,Dwarven Thrower,DMG2024,
ear-horn-of-hearing,Ear Horn of Hearing,DMG2024,
efreeti-bottle,Efreeti Bottle,DMG2024,
efreeti-chain,Efreeti Chain,DMG2024,
elemental-gem,Elemental Gem,DMG2024,
elixir-of-health,Elixir of Health,DMG2024,
elven-chain,Elven Chain,DMG2024,
enduring-spellbook,Enduring Spellbook,DMG2024,
energy-bow,Energy Bow,DMG2024,
enspelled-armor,Enspelled Armor,DMG2024,
enspelled-staff,Enspelled Staff,DMG2024,
enspelled-weapon,Enspelled Weapon,DMG2024,
ersatz-eye,Ersatz Eye,DMG2024,
eversmoking-bottle,Eversmoking Bottle,DMG2024,
executioner-s-axe,Executioner's Axe,DMG2024,
eye-and-hand-of-vecna,Eye and Hand of Vecna,DMG2024,
eyes-of-charming,Eyes of Charming,DMG2024,
eyes-of-minute-seeing,Eyes of Minute Seeing,DMG2024,
eyes-of-the-eagle,Eyes of the Eagle,DMG2024,
figurine-of-wondrous-power,Figurine of Wondrous Power,DMG2024,
flame-tongue,Flame Tongue,DMG2024,
folding-boat,Folding Boat,DMG2024,
fork-of-eddy-summoning,Fork of Eddy Summoning,NF,
frost-brand,Frost Brand,DMG2024,
gauntlets-of-ogre-power,Gauntlets of Ogre Power,DMG2024,
gem-of-brightness,Gem of Brightness,DMG2024,
gem-of-seeing,Gem of Seeing,DMG2024,
giant-slayer,Giant Slayer,DMG2024,
glamoured-studded-leather,Glamoured Studded Leather,DMG2024,
gloves-of-missile-snaring,Gloves of Missile Snaring,DMG2024,
gloves-of-swimming-and-climbing,Gloves of Swimming and Climbing,DMG2024,
gloves-of-thievery,Gloves of Thievery,DMG2024,
goggles-of-night,Goggles of Night,DMG2024,
hag-eye,Hag Eye,DMG2024,
hammer-of-thunderbolts,Hammer of Thunderbolts,DMG2024,
harper-pin,Harper Pin,FRAIF,
hat-of-disguise,Hat of Disguise,DMG2024,
hat-of-many-spells,Hat of Many Spells,DMG2024,
hat-of-vermin,Hat of Vermin,DMG2024,
hat-of-vortexes,Hat of Vortexes,NF,
hat-of-wizardry,Hat of Wizardry,DMG2024,
headband-of-intellect,Headband of Intellect,DMG2024,
helm-of-awareness,Helm of Awareness,EFOTA,
helm-of-brilliance,Helm of Brilliance,DMG2024,
helm-of-comprehending-languages,Helm of Comprehending Languages,DMG2024,
helm-of-telepathy,Helm of Telepathy,DMG2024,
helm-of-teleportation,Helm of Teleportation,DMG2024,
heward-s-handy-haversack,Heward's Handy Haversack,DMG2024,
heward-s-handy-spice-pouch,Heward's Handy Spice Pouch,DMG2024,
holy-avenger,Holy Avenger,DMG2024,
horn-of-blasting,Horn of Blasting,DMG2024,
horn-of-silent-alarm,Horn of Silent Alarm,DMG2024,
horn-of-valhalla,Horn of Valhalla,DMG2024,
horseshoes-of-a-zephyr,Horseshoes of a Zephyr,DMG2024,
horseshoes-of-speed,Horseshoes of Speed,DMG2024,
immovable-rod,Immovable Rod,DMG2024,
instrument-of-illusions,Instrument of Illusions,DMG2024,
instrument-of-scribing,Instrument of Scribing,DMG2024,
instrument-of-the-bards,Instrument of the Bards,DMG2024,
ioun-stone,Ioun Stone,DMG2024,
iron-bands-of-bilarro,Iron Bands of Bilarro,DMG2024,
iron-flask,Iron Flask,DMG2024,
javelin-of-lightning,Javelin of Lightning,DMG2024,
keoghtom-s-ointment,Keoghtom's Ointment,DMG2024,
lantern-of-revealing,Lantern of Revealing,DMG2024,
lock-of-trickery,Lock of Trickery,DMG2024,
luck-blade,Luck Blade,DMG2024,
lute-of-thunderous-thumping,Lute of Thunderous Thumping,DMG2024,
mace-of-disruption,Mace of Disruption,DMG2024,
mace-of-smiting,Mace of Smiting,DMG2024,
mace-of-terror,Mace of Terror,DMG2024,
magen-handbell,Magen Handbell,NF,
manifold-tool,Manifold Tool,EFOTA,
mantle-of-spell-resistance,Mantle of Spell Resistance,DMG2024,
manual-of-bodily-health,Manual of Bodily Health,DMG2024,
manual-of-gainful-exercise,Manual of Gainful Exercise,DMG2024,
manual-of-golems,Manual of Golems,DMG2024,
manual-of-quickness-of-action,Manual of Quickness of Action,DMG2024,
mariner-s-armor,Mariner's Armor,DMG2024,
mask-of-changed-appearance,Mask of Changed Appearance,NF,
mechanical-wonder,Mechanical Wonder,FRHOF,
medallion-of-thoughts,Medallion of Thoughts,DMG2024,
mind-sharpener,Mind Sharpener,EFOTA,
mirror-of-life-trapping,Mirror of Life Trapping,DMG2024,
mithral-armor,Mithral Armor,DMG2024,
moon-touched-sword,Moon-Touched Sword,DMG2024,
moonblade,Moonblade,DMG2024,
mystery-key,Mystery Key,DMG2024,
mythallar-bracelet,Mythallar Bracelet,NF,
mythallar-cloak,Mythallar Cloak,NF,
nature-s-mantle,Nature's Mantle,DMG2024,
necklace-of-adaptation,Necklace of Adaptation,DMG2024,
necklace-of-fireballs,Necklace of Fireballs,DMG2024,
necklace-of-prayer-beads,Necklace of Prayer Beads,DMG2024,
niko-s-mace,Niko's Mace,UNI AND THE HUNT FOR THE LOST HORN,
nine-lives-stealer,Nine Lives Stealer,DMG2024,
nolzur-s-marvelous-pigments,Nolzur's Marvelous Pigments,DMG2024,
oathbow,Oathbow,DMG2024,
oil-of-etherealness,Oil of Etherealness,DMG2024,
oil-of-sharpness,Oil of Sharpness,DMG2024,
oil-of-slipperiness,Oil of Slipperiness,DMG2024,
orb-of-damara,Orb of Damara,FRAIF,
orb-of-direction,Orb of Direction,DMG2024,
orb-of-dragonkind,Orb of Dragonkind,DMG2024,
orb-of-time,Orb of Time,DMG2024,
pearl-of-power,Pearl of Power,DMG2024,
perfume-of-bewitching,Perfume of Bewitching,DMG2024,
periapt-of-health,Periapt of Health,DMG2024,
periapt-of-proof-against-poison,Periapt of Proof against Poison,DMG2024,
periapt-of-wound-closure,Periapt of Wound Closure,DMG2024,
philter-of-love,Philter of Love,DMG2024,
pipe-of-smoke-monsters,Pipe of Smoke Monsters,DMG2024,
pipes-of-haunting,Pipes of Haunting,DMG2024,
pipes-of-pestilence,Pipes Of Pestilence,WTTHC,
pipes-of-the-sewers,Pipes of the Sewers,DMG2024,
plate-armor-of-etherealness,Plate Armor of Etherealness,DMG2024,
poison-soaked-kukri,Poison Soaked Kukri,WTTHC,
pole-of-angling,Pole of Angling,DMG2024,
pole-of-collapsing,Pole of Collapsing,DMG2024,
portable-hole,Portable Hole,DMG2024,
pot-of-awakening,Pot of Awakening,DMG2024,
potion-of-animal-friendship,Potion of Animal Friendship,DMG2024,
potion-of-clairvoyance,Potion of Clairvoyance,DMG2024,
potion-of-climbing,Potion of Climbing,DMG2024,
potion-of-comprehension,Potion of Comprehension,DMG2024,
potion-of-diminution,Potion of Diminution,DMG2024,
potion-of-fire-breath,Potion of Fire Breath,DMG2024,
potion-of-flying,Potion of Flying,DMG2024,
potion-of-gaseous-form,Potion of Gaseous Form,DMG2024,
potion-of-giant-strength,Potion of Giant Strength,DMG2024,
potion-of-greater-invisibility,Potion of Greater Invisibility,DMG2024,
potion-of-growth,Potion of Growth,DMG2024,
potion-of-healing,Potion of Healing,DMG2024,
potion-of-heroism,Potion of Heroism,DMG2024,
potion-of-invisibility,Potion of Invisibility,DMG2024,
potion-of-invulnerability,Potion of Invulnerability,DMG2024,
potion-of-longevity,Potion of Longevity,DMG2024,
potion-of-mind-reading,Potion of Mind Reading,DMG2024,
potion-of-poison,Potion of Poison,DMG2024,
potion-of-pugilism,Potion of Pugilism,DMG2024,
potion-of-resistance,Potion of Resistance,DMG2024,
potion-of-speed,Potion of Speed,DMG2024,
potion-of-vitality,Potion of Vitality,DMG2024,
potion-of-water-breathing,Potion of Water Breathing,DMG2024,
prosthetic-limb,Prosthetic Limb,DMG2024,
quaal-s-feather-token,Quaal's Feather Token,DMG2024,
quarterstaff-of-the-acrobat,Quarterstaff of the Acrobat,DMG2024,
quiver-of-ehlonna,Quiver of Ehlonna,DMG2024,
reliquary-of-dawn,Reliquary of Dawn,LFL,
reliquary-of-twilight,Reliquary of Twilight,LFL,
repeating-shot,Repeating Shot,EFOTA,
repulsion-shield,Repulsion Shield,EFOTA,
returning-weapon,Returning Weapon,EFOTA,
ring-of-animal-influence,Ring of Animal Influence,DMG2024,
ring-of-djinni-summoning,Ring of Djinni Summoning,DMG2024,
ring-of-elemental-command,Ring of Elemental Command,DMG2024,
ring-of-evasion,Ring of Evasion,DMG2024,
ring-of-feather-falling,Ring of Feather Falling,DMG2024,
ring-of-free-action,Ring of Free Action,DMG2024,
ring-of-invisibility,Ring of Invisibility,DMG2024,
ring-of-jumping,Ring of Jumping,DMG2024,
ring-of-mind-shielding,Ring of Mind Shielding,DMG2024,
ring-of-protection,Ring of Protection,DMG2024,
ring-of-regeneration,Ring of Regeneration,DMG2024,
ring-of-resistance,Ring of Resistance,DMG2024,
ring-of-shooting-stars,Ring of Shooting Stars,DMG2024,
ring-of-spell-storing,Ring of Spell Storing,DMG2024,
ring-of-spell-turning,Ring of Spell Turning,DMG2024,
ring-of-swimming,Ring of Swimming,DMG2024,
ring-of-telekinesis,Ring of Telekinesis,DMG2024,
ring-of-the-ram,Ring of the Ram,DMG2024,
ring-of-three-wishes,Ring of Three Wishes,DMG2024,
ring-of-warmth,Ring of Warmth,DMG2024,
ring-of-water-walking,Ring of Water Walking,DMG2024,
ring-of-x-ray-vision,Ring of X-ray Vision,DMG2024,
rival-coin,Rival Coin,DMG2024,
robe-of-eyes,Robe of Eyes,DMG2024,
robe-of-scintillating-colors,Robe of Scintillating Colors,DMG2024,
robe-of-stars,Robe of Stars,DMG2024,
robe-of-the-archmagi,Robe of the Archmagi,DMG2024,
robe-of-useful-items,Robe of Useful Items,DMG2024,
rod-of-absorption,Rod of Absorption,DMG2024,
rod-of-alertness,Rod of Alertness,DMG2024,
rod-of-lordly-might,Rod of Lordly Might,DMG2024,
rod-of-resurrection,Rod of Resurrection,DMG2024,
rod-of-rulership,Rod of Rulership,DMG2024,
rod-of-security,Rod of Security,DMG2024,
rod-of-the-pact-keeper,Rod of the Pact Keeper,DMG2024,
rope-of-climbing,Rope of Climbing,DMG2024,
rope-of-entanglement,Rope of Entanglement,DMG2024,
rope-of-mending,Rope of Mending,DMG2024,
ruby-of-the-war-mage,Ruby of the War Mage,DMG2024,
saddle-of-the-cavalier,Saddle of the Cavalier,DMG2024,
scarab-of-protection,Scarab of Protection,DMG2024,
scimitar-of-speed,Scimitar of Speed,DMG2024,
scroll-of-protection,Scroll of Protection,DMG2024,
scroll-of-titan-summoning,Scroll of Titan Summoning,DMG2024,
sending-stones,Sending Stones,DMG2024,
sentinel-shield,Sentinel Shield,DMG2024,
shield-1-2-or-3,"Shield, +1, +2, or +3",DMG2024,
shield-of-expression,Shield of Expression,DMG2024,
shield-of-missile-attraction,Shield of Missile Attraction,DMG2024,
shield-of-the-cavalier,Shield of the Cavalier,DMG2024,
silvered-weapon,Silvered Weapon,DMG2024,
slippers-of-spider-climbing,Slippers of Spider Climbing,DMG2024,
smoldering-armor,Smoldering Armor,DMG2024,
sovereign-glue,Sovereign Glue,DMG2024,
spell-refueling-ring,Spell-Refueling Ring,EFOTA,
spell-scroll,Spell Scroll,DMG2024,
spellguard-shield,Spellguard Shield,DMG2024,
sphere-of-annihilation,Sphere of Annihilation,DMG2024,
spiked-shield,Spiked Shield,WTTHC,
spirit-board,Spirit Board,DMG2024,
staff-of-adornment,Staff of Adornment,DMG2024,
staff-of-birdcalls,Staff of Birdcalls,DMG2024,
staff-of-charming,Staff of Charming,DMG2024,
staff-of-fire,Staff of Fire,DMG2024,
staff-of-flowers,Staff of Flowers,DMG2024,
staff-of-frost,Staff of Frost,DMG2024,
staff-of-healing,staff-of-healing,DMG2024,
staff-of-power,Staff of Power,DMG2024,
staff-of-striking,Staff of Striking,DMG2024,
staff-of-swarming-insects,Staff of Swarming Insects,DMG2024,
staff-of-the-adder,Staff of the Adder,DMG2024,
staff-of-the-magi,Staff of the Magi,DMG2024,
staff-of-the-python,Staff of the Python,DMG2024,
staff-of-the-woodlands,Staff of the Woodlands,DMG2024,
staff-of-thunder-and-lightning,Staff of Thunder and Lightning,DMG2024,
staff-of-withering,Staff of Withering,DMG2024,
stone-of-controlling-earth-elementals,Stone of Controlling Earth Elementals,DMG2024,
stone-of-good-luck-luckstone,Stone of Good Luck (Luckstone),DMG2024,
sun-blade,Sun Blade,DMG2024,
sword-of-answering,Sword of Answering,DMG2024,
sword-of-kas,Sword of Kas,DMG2024,
sword-of-life-stealing,Sword of Life Stealing,DMG2024,
sword-of-sharpness,Sword of Sharpness,DMG2024,
sword-of-vengeance,Sword of Vengeance,DMG2024,
sword-of-wounding,Sword of Wounding,DMG2024,
sylvan-talon,Sylvan Talon,DMG2024,
talisman-of-pure-good,Talisman of Pure Good,DMG2024,
talisman-of-the-sphere,Talisman of the Sphere,DMG2024,
talisman-of-ultimate-evil,Talisman of Ultimate Evil,DMG2024,
talking-doll,Talking Doll,DMG2024,
tankard-of-sobriety,Tankard of Sobriety,DMG2024,
tentacle-rod,Tentacle Rod,DMG2024,
thayan-spell-tattoo,Thayan Spell Tattoo,FRHOF,
thunderous-greatclub,Thunderous Greatclub,DMG2024,
tome-of-clear-thought,Tome of Clear Thought,DMG2024,
tome-of-leadership-and-influence,Tome of Leadership and Influence,DMG2024,
tome-of-the-dragon,Tome of the Dragon,FRAIF,
tome-of-the-stilled-tongue,Tome of the Stilled Tongue,DMG2024,
tome-of-understanding,Tome of Understanding,DMG2024,
trident-of-fish-command,Trident of Fish Command,DMG2024,
universal-solvent,Universal Solvent,DMG2024,
veteran-s-cane,Veteran's Cane,DMG2024,
vicious-weapon,Vicious Weapon,DMG2024,
vorpal-sword,Vorpal Sword,DMG2024,
walloping-ammunition,Walloping Ammunition,DMG2024,
wand-of-binding,Wand of Binding,DMG2024,
wand-of-conducting,Wand of Conducting,DMG2024,
wand-of-enemy-detection,Wand of Enemy Detection,DMG2024,
wand-of-fear,Wand of Fear,DMG2024,
wand-of-fireballs,Wand of Fireballs,DMG2024,
wand-of-lightning-bolts,Wand of Lightning Bolts,DMG2024,
wand-of-magic-detection,Wand of Magic Detection,DMG2024,
wand-of-magic-missiles,Wand of Magic Missiles,DMG2024,
wand-of-orcus,Wand of Orcus,DMG2024,
wand-of-paralysis,Wand of Paralysis,DMG2024,
wand-of-polymorph,Wand of Polymorph,DMG2024,
wand-of-pyrotechnics,Wand of Pyrotechnics,DMG2024,
wand-of-secrets,Wand of Secrets,DMG2024,
wand-of-the-war-mage-1-2-or-3,"Wand of the War Mage, +1, +2 or +3",DMG2024,
wand-of-web,Wand of Web,DMG2024,
wand-of-wonder,Wand of Wonder,DMG2024,
wave,Wave,DMG2024,
weapon-1-2-or-3,"Weapon, +1, +2 or +3",DMG2024,
weapon-of-warning,Weapon of Warning,DMG2024,
well-of-many-worlds,Well of Many Worlds,DMG2024,
whelm,Whelm,DMG2024,
wind-fan,Wind Fan,DMG2024,
windskiff,Windskiff,FRHOF,
winged-boots,Winged Boots,DMG2024,
wings-of-flying,Wings of Flying,DMG2024,
wraps-of-unarmed-power,Wraps of Unarmed Power,DMG2024,
